Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked_Q,Embarked_S
0,3,0,-0.5308945752548584,1,0,-0.5280326650334237,False,True
1,1,1,0.5563425174127479,1,0,0.6979560284475278,False,False
1,3,1,-0.2590853020879568,0,0,-0.5151090398555921,False,True
1,1,1,0.35248556253757174,1,0,0.3498165414903948,False,True
0,3,0,0.35248556253757174,0,0,-0.5127157759337715,False,True
0,3,0,,0,0,-0.5048984186595364,True,False
0,1,0,1.6435796100803541,0,0,0.3261232286643702,False,True
0,3,0,-1.8899409410893664,3,1,-0.2633376752800586,False,True
1,3,1,-0.19113298379623142,0,2,-0.45368257073257434,False,True
1,2,1,-1.0745131215886616,1,0,-0.0911030865767442,False,False
1,3,1,-1.7540363045059155,1,1,-0.34710191254378175,False,True
1,1,1,1.9153888832472559,0,0,-0.15851271550431362,False,True
0,3,0,-0.6667992118383091,0,0,-0.5127157759337715,False,True
0,3,0,0.6242948357044733,1,5,-0.06804733925949266,False,True
0,3,1,-1.0745131215886616,0,0,-0.5164645845409114,False,True
1,2,1,1.7115319283720796,0,0,-0.36050419050597743,False,True
0,3,0,-1.8899409410893664,4,1,-0.10921147871480802,True,False
1,2,0,,0,0,-0.4179425246296733,False,True
0,3,1,0.08067628937067015,1,0,-0.32221196775684685,False,True
1,3,1,,0,0,-0.5285113178177878,False,False
0,2,0,0.35248556253757174,0,0,-0.16904307676032454,False,True
1,2,0,0.2845332442458463,0,0,-0.4179425246296733,False,True
1,3,1,-1.0065608032969362,0,0,-0.5131140150503625,True,False
1,1,0,-0.12318066550450604,0,0,0.01284498129804571,False,True
0,3,1,-1.482227031339014,3,1,-0.2633376752800586,False,True
1,3,1,0.5563425174127479,1,5,-0.06589340172985406,False,True
0,3,0,,0,0,-0.5285113178177878,False,False
0,1,0,-0.7347515301300346,3,2,4.368585319011649,False,True
1,3,1,,0,0,-0.5159859317565473,True,False
0,3,0,,0,0,-0.5156681063077294,False,True
0,1,0,0.6922471539961987,0,0,-0.1360964483069726,False,False
1,1,1,,1,0,2.138461582991384,False,False
1,3,1,,0,0,-0.5184596093461411,True,False
0,2,0,2.459007429581059,0,0,-0.46580780306608655,False,True
0,1,0,-0.12318066550450604,1,0,0.9064093160381075,False,False
0,1,0,0.8281517905796495,1,0,0.32875581897837297,False,True
1,3,0,,0,0,-0.5284309041500147,False,False
0,3,0,-0.5988468935465838,0,0,-0.5127157759337715,False,True
0,3,1,-0.80270384842176,2,0,-0.32221196775684685,False,True
1,3,1,-1.0745131215886616,1,0,-0.45160713225957144,False,False
0,3,1,0.6922471539961987,1,0,-0.48543256722501593,False,True
0,2,1,-0.19113298379623142,1,0,-0.264773633633151,False,True
0,3,0,,0,0,-0.5156681063077294,False,False
1,2,1,-1.821988622797641,1,2,0.129238021566303,False,False
1,3,1,-0.7347515301300346,0,0,-0.5159859317565473,True,False
0,3,0,,0,0,-0.5127157759337715,False,True
0,3,0,,1,0,-0.3700772461932601,True,False
0,3,0,,2,0,-0.25176959478754624,False,False
0,3,1,-0.80270384842176,1,0,-0.3260411900317599,False,True
0,3,0,-1.5501793496307392,4,1,0.09301932267903786,False,True
